net,length_um
net382,1.18671mm
net1099,1.10688mm
net759,1.055055mm
net771,1.028435mm
_00042_,1.004465mm
net767,969.245µm
net755,943.86µm
net751,928.375µm
net775,906.29µm
net783,865.925µm
net789,851.275µm
net787,841.895µm
net763,834.42µm
net793,800.925µm
net791,781.265µm
net781,767.53µm
net765,761.53µm
_06053_,700.26µm
net1088,690.035µm
_01994_,681.525µm
net1098,669.22µm
net773,662.87µm
net769,661.87µm
net986,656.715µm
_06059_,647.705µm
net1097,634.485µm
net749,632.375µm
net777,615.935µm
net801,611.375µm
net877,601.935µm
net748,599.84µm
net795,595.805µm
net878,591.955µm
net192,584.09µm
_02062_,581.29µm
net797,578.34µm
net782,569.925µm
net757,561.32µm
net785,552.55µm
comm_mem_u0.spi_u0.image_shift\[28\],549.985µm
net803,548.875µm
net799,540.55µm
net4,527.245µm
_06068_,515.75µm
net614,514.23µm
net1109,514µm
net888,506.99µm
net774,502.18µm
net1096,483.795µm
net303,477.3µm
net761,475.78µm
net103,475.255µm
net20,473.85µm
net63,456.975µm
net779,455.39µm
net462,448.095µm
net688,447.555µm
net790,440.255µm
net678,437.915µm
net196,430.84µm
net640,430.55µm
comm_mem_u0.spi_u0.image_shift\[23\],427.16µm
net753,425.795µm
net273,425.28µm
net860,417.825µm
net215,417.25µm
net1114,414.46µm
comm_mem_u0.spi_u0.weight_shift\[12\],413.735µm
comm_mem_u0.spi_u0.image_shift\[25\],407.095µm
_01861_,395.01µm
comm_mem_u0.spi_u0.weight_shift\[6\],391.88µm
net115,388.95µm
net1030,388.185µm
net893,386.665µm
_01920_,386.475µm
net786,381.21µm
net208,378.985µm
net702,375.11µm
comm_mem_u0.spi_u0.image_shift\[19\],371.8µm
net754,370.565µm
_01877_,369.94µm
comm_mem_u0.spi_u0.weight_shift\[8\],369.88µm
net768,369.88µm
comm_mem_u0.spi_u0.image_shift\[27\],369.15µm
net58,368.09µm
net276,366.945µm
net776,363.175µm
_03126_,361.365µm
_02061_,361.175µm
_02059_,358.025µm
net638,356.93µm
net445,356.495µm
comm_mem_u0.spi_u0.image_shift\[17\],355.52µm
net55,355.225µm
net198,355.14µm
CNNver2_MISO,352.495µm
net794,350.99µm
net5,350.71µm
_06455_,350.495µm
net627,349.625µm
net15,348.635µm
net1,348.57µm
_01809_,348.215µm
comm_mem_u0.spi_u0.weight_shift\[11\],348.185µm
net288,347.67µm
net615,344.47µm
net606,344µm
net1087,343.3µm
_06055_,342.695µm
_06257_,342.63µm
net762,342.02µm
net221,338.96µm
comm_mem_u0.o_img_row04\[3\],336.44µm
net770,334.985µm
net529,331.645µm
comm_mem_u0.spi_u0.image_shift\[21\],329.795µm
net648,329.39µm
