Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_132_1047,VSS,Metal1,508.8000,514.0800,0.000001
FILLER_132_1043,VSS,Metal1,507.3480,514.4560,0.000001
FILLER_132_1036,VSS,Metal1,504.7260,514.5400,0.000001
FILLER_132_1029,VSS,Metal1,501.3660,514.5400,0.000001
FILLER_132_1022,VSS,Metal1,498.0060,514.5400,0.000001
FILLER_132_1015,VSS,Metal1,494.6460,514.5400,0.000001
FILLER_132_1008,VSS,Metal1,491.2860,514.5400,0.000001
FILLER_132_1001,VSS,Metal1,487.9260,514.5400,0.000001
FILLER_132_994,VSS,Metal1,484.5660,514.5400,0.000000
FILLER_132_987,VSS,Metal1,481.2060,514.5400,0.000000
FILLER_132_980,VSS,Metal1,477.8460,514.5400,0.000000
FILLER_132_973,VSS,Metal1,474.4860,514.5400,0.000001
FILLER_132_966,VSS,Metal1,471.1260,514.5400,0.000003
FILLER_132_959,VSS,Metal1,467.7660,514.5400,0.000004
FILLER_132_952,VSS,Metal1,464.4060,514.5400,0.000005
FILLER_132_945,VSS,Metal1,461.0460,514.5400,0.000006
FILLER_132_938,VSS,Metal1,457.6860,514.5400,0.000007
FILLER_132_931,VSS,Metal1,454.3260,514.5400,0.000008
FILLER_132_924,VSS,Metal1,450.9660,514.5400,0.000009
FILLER_132_917,VSS,Metal1,447.6060,514.5400,0.000010
FILLER_132_910,VSS,Metal1,444.2460,514.5400,0.000011
FILLER_132_903,VSS,Metal1,440.8860,514.5400,0.000011
FILLER_132_896,VSS,Metal1,437.5260,514.5400,0.000011
FILLER_132_885,VSS,Metal1,432.2460,514.5400,0.000011
FILLER_132_878,VSS,Metal1,428.8860,514.5400,0.000010
FILLER_132_871,VSS,Metal1,425.5260,514.5400,0.000010
FILLER_132_865,VSS,Metal1,421.4400,514.0800,0.000010
FILLER_132_861,VSS,Metal1,419.9880,514.4560,0.000010
FILLER_132_854,VSS,Metal1,417.3660,514.5400,0.000009
FILLER_132_847,VSS,Metal1,414.0060,514.5400,0.000002
FILLER_132_840,VSS,Metal1,410.6460,514.5400,0.000001
FILLER_132_835,VSS,Metal1,407.0400,514.0800,0.000001
FILLER_132_831,VSS,Metal1,405.5880,514.4560,0.000001
FILLER_132_826,VSS,Metal1,402.4800,514.0800,0.000001
FILLER_132_822,VSS,Metal1,401.2680,514.4560,0.000001
FILLER_132_815,VSS,Metal1,398.6460,514.5400,0.000007
FILLER_132_808,VSS,Metal1,395.2860,514.5400,0.000007
FILLER_132_801,VSS,Metal1,391.9260,514.5400,0.000007
FILLER_132_794,VSS,Metal1,388.5660,514.5400,0.000007
FILLER_132_787,VSS,Metal1,385.2060,514.5400,0.000007
FILLER_132_780,VSS,Metal1,381.8460,514.5400,0.000009
FILLER_132_773,VSS,Metal1,377.7480,514.4560,0.000010
FILLER_132_766,VSS,Metal1,375.1260,514.5400,0.000010
FILLER_132_760,VSS,Metal1,371.0400,514.0800,0.000010
FILLER_132_756,VSS,Metal1,369.5880,514.4560,0.000010
FILLER_132_749,VSS,Metal1,366.9660,514.5400,0.000010
FILLER_132_742,VSS,Metal1,363.6060,514.5400,0.000010
FILLER_132_735,VSS,Metal1,360.2460,514.5400,0.000010
FILLER_132_729,VSS,Metal1,356.1600,514.0800,0.000010
FILLER_132_724,VSS,Metal1,353.7600,514.0800,0.000010
FILLER_132_720,VSS,Metal1,352.3080,514.4560,0.000010
FILLER_132_713,VSS,Metal1,349.6860,514.5400,0.000010
FILLER_132_708,VSS,Metal1,345.8400,514.0800,0.000010
FILLER_132_701,VSS,Metal1,343.9260,514.5400,0.000008
FILLER_132_694,VSS,Metal1,340.5660,514.5400,0.000008
FILLER_132_687,VSS,Metal1,337.2060,514.5400,0.000008
FILLER_132_682,VSS,Metal1,333.3600,514.0800,0.000008
FILLER_132_678,VSS,Metal1,332.1480,514.4560,0.000008
FILLER_132_671,VSS,Metal1,329.5260,514.5400,0.000005
FILLER_132_656,VSS,Metal1,320.8800,514.0800,0.000002
FILLER_132_654,VSS,Metal1,320.1600,514.0800,0.000002
FILLER_132_647,VSS,Metal1,318.0060,514.5400,0.000002
FILLER_132_642,VSS,Metal1,314.1600,514.0800,0.000002
FILLER_132_640,VSS,Metal1,313.4400,514.0800,0.000002
FILLER_132_633,VSS,Metal1,311.2860,514.5400,0.000003
FILLER_132_626,VSS,Metal1,307.9260,514.5400,0.000003
FILLER_132_619,VSS,Metal1,304.5660,514.5400,0.000003
FILLER_132_612,VSS,Metal1,301.2060,514.5400,0.000003
FILLER_132_605,VSS,Metal1,297.8460,514.5400,0.000003
FILLER_132_598,VSS,Metal1,294.4860,514.5400,0.000003
FILLER_132_591,VSS,Metal1,291.1260,514.5400,0.000003
FILLER_132_584,VSS,Metal1,287.7660,514.5400,0.000004
FILLER_132_577,VSS,Metal1,284.4060,514.5400,0.000005
FILLER_132_570,VSS,Metal1,281.0460,514.5400,0.000005
FILLER_132_563,VSS,Metal1,277.6860,514.5400,0.000005
FILLER_132_557,VSS,Metal1,273.6000,514.0800,0.000005
FILLER_132_550,VSS,Metal1,271.4460,514.5400,0.000005
FILLER_132_543,VSS,Metal1,268.0860,514.5400,0.000005
FILLER_132_537,VSS,Metal1,264.0000,514.0800,0.000005
FILLER_132_533,VSS,Metal1,262.5480,514.4560,0.000005
FILLER_132_528,VSS,Metal1,259.6800,514.0800,0.000003
FILLER_132_524,VSS,Metal1,258.2280,514.4560,0.000003
FILLER_132_517,VSS,Metal1,255.6060,514.5400,0.000003
FILLER_132_510,VSS,Metal1,252.2460,514.5400,0.000002
FILLER_132_503,VSS,Metal1,248.8860,514.5400,0.000003
FILLER_132_496,VSS,Metal1,245.5260,514.5400,0.000003
FILLER_132_490,VSS,Metal1,241.4400,514.0800,0.000003
FILLER_132_486,VSS,Metal1,239.9880,514.4560,0.000003
FILLER_132_481,VSS,Metal1,237.1200,514.0800,0.000004
FILLER_132_474,VSS,Metal1,234.9660,514.5400,0.000004
FILLER_132_458,VSS,Metal1,226.0800,514.0800,0.000005
FILLER_132_451,VSS,Metal1,223.9260,514.5400,0.000009
FILLER_132_444,VSS,Metal1,220.5660,514.5400,0.000009
FILLER_132_436,VSS,Metal1,215.9880,514.4560,0.000009
FILLER_132_428,VSS,Metal1,212.1480,514.4560,0.000009
FILLER_132_421,VSS,Metal1,209.5260,514.5400,0.000009
FILLER_132_414,VSS,Metal1,206.1660,514.5400,0.000009
FILLER_132_398,VSS,Metal1,198.4860,514.5400,0.000009
FILLER_132_391,VSS,Metal1,195.1260,514.5400,0.000008
FILLER_132_386,VSS,Metal1,191.2800,514.0800,0.000007
FILLER_132_382,VSS,Metal1,190.0680,514.4560,0.000007
FILLER_132_375,VSS,Metal1,187.4460,514.5400,0.000006
FILLER_132_368,VSS,Metal1,184.0860,514.5400,0.000004
FILLER_132_358,VSS,Metal1,179.2860,514.5400,0.000004
FILLER_132_347,VSS,Metal1,174.0060,514.5400,0.000004
FILLER_132_340,VSS,Metal1,170.6460,514.5400,0.000005
FILLER_132_333,VSS,Metal1,167.2860,514.5400,0.000005
FILLER_132_325,VSS,Metal1,162.7080,514.4560,0.000005
FILLER_132_318,VSS,Metal1,160.0860,514.5400,0.000006
FILLER_132_311,VSS,Metal1,156.7260,514.5400,0.000007
FILLER_132_304,VSS,Metal1,153.3660,514.5400,0.000007
FILLER_132_297,VSS,Metal1,150.0060,514.5400,0.000007
FILLER_132_290,VSS,Metal1,146.6460,514.5400,0.000007
FILLER_132_283,VSS,Metal1,143.2860,514.5400,0.000007
FILLER_132_277,VSS,Metal1,139.2000,514.0800,0.000007
FILLER_132_273,VSS,Metal1,137.7480,514.4560,0.000007
FILLER_132_266,VSS,Metal1,135.1260,514.5400,0.000006
FILLER_132_259,VSS,Metal1,131.7660,514.5400,0.000005
FILLER_132_252,VSS,Metal1,128.4060,514.5400,0.000002
FILLER_132_245,VSS,Metal1,125.0460,514.5400,0.000002
FILLER_132_238,VSS,Metal1,121.6860,514.5400,0.000002
FILLER_132_231,VSS,Metal1,118.3260,514.5400,0.000002
FILLER_132_224,VSS,Metal1,114.9660,514.5400,0.000001
FILLER_132_217,VSS,Metal1,111.6060,514.5400,0.000001
FILLER_132_210,VSS,Metal1,108.2460,514.5400,0.000001
FILLER_132_203,VSS,Metal1,104.8860,514.5400,0.000001
FILLER_132_196,VSS,Metal1,101.5260,514.5400,0.000000
FILLER_132_189,VSS,Metal1,98.1660,514.5400,0.000000
FILLER_132_182,VSS,Metal1,94.8060,514.5400,0.000000
FILLER_132_175,VSS,Metal1,91.4460,514.5400,0.000000
FILLER_132_168,VSS,Metal1,88.0860,514.5400,0.000000
FILLER_132_161,VSS,Metal1,84.7260,514.5400,0.000000
FILLER_132_154,VSS,Metal1,81.3660,514.5400,0.000000
FILLER_132_147,VSS,Metal1,78.0060,514.5400,0.000000
FILLER_132_140,VSS,Metal1,74.6460,514.5400,0.000000
FILLER_132_133,VSS,Metal1,71.2860,514.5400,0.000000
FILLER_132_126,VSS,Metal1,67.9260,514.5400,0.000000
FILLER_132_119,VSS,Metal1,64.5660,514.5400,0.000000
FILLER_132_112,VSS,Metal1,61.2060,514.5400,0.000000
FILLER_132_105,VSS,Metal1,57.8460,514.5400,0.000000
FILLER_132_98,VSS,Metal1,54.4860,514.5400,0.000000
FILLER_132_91,VSS,Metal1,51.1260,514.5400,0.000000
FILLER_132_84,VSS,Metal1,47.7660,514.5400,0.000000
FILLER_132_77,VSS,Metal1,44.4060,514.5400,0.000000
FILLER_132_70,VSS,Metal1,41.0460,514.5400,0.000000
FILLER_132_63,VSS,Metal1,37.6860,514.5400,0.000000
FILLER_132_56,VSS,Metal1,34.3260,514.5400,0.000000
FILLER_132_49,VSS,Metal1,30.9660,514.5400,0.000000
FILLER_132_42,VSS,Metal1,27.6060,514.5400,0.000000
FILLER_132_35,VSS,Metal1,24.2460,514.5400,0.000000
FILLER_132_28,VSS,Metal1,20.8860,514.5400,0.000000
FILLER_132_21,VSS,Metal1,17.5260,514.5400,0.000000
FILLER_132_14,VSS,Metal1,14.1660,514.5400,0.000000
FILLER_132_7,VSS,Metal1,10.8060,514.5400,0.000000
FILLER_132_0,VSS,Metal1,7.4460,514.5400,0.000000
FILLER_131_1042,VSS,Metal1,507.6060,513.6190,0.000001
FILLER_131_1035,VSS,Metal1,504.2460,513.6190,0.000001
FILLER_131_1028,VSS,Metal1,500.8860,513.6190,0.000001
FILLER_131_1021,VSS,Metal1,497.5260,513.6190,0.000001
FILLER_131_1014,VSS,Metal1,494.1660,513.6190,0.000001
FILLER_131_1007,VSS,Metal1,490.8060,513.6190,0.000001
FILLER_131_1000,VSS,Metal1,487.4460,513.6190,0.000001
FILLER_131_993,VSS,Metal1,484.0860,513.6190,0.000000
FILLER_131_986,VSS,Metal1,480.7260,513.6190,0.000000
FILLER_131_979,VSS,Metal1,477.3660,513.6190,0.000000
FILLER_131_972,VSS,Metal1,474.0060,513.6190,0.000001
FILLER_131_965,VSS,Metal1,470.6460,513.6190,0.000003
FILLER_131_958,VSS,Metal1,467.2860,513.6190,0.000004
FILLER_131_951,VSS,Metal1,463.9260,513.6190,0.000005
FILLER_131_944,VSS,Metal1,460.5660,513.6190,0.000006
FILLER_131_937,VSS,Metal1,457.2060,513.6190,0.000007
FILLER_131_930,VSS,Metal1,453.8460,513.6190,0.000008
FILLER_131_923,VSS,Metal1,450.4860,513.6190,0.000009
FILLER_131_916,VSS,Metal1,447.1260,513.6190,0.000010
FILLER_131_861,VSS,Metal1,419.2800,514.0800,0.000010
