2026-03-06 05:32:01 +0000: Memory Usage (424296K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/CNN4IC/cnnver3_tests/librelane/CNNver3/runs/RUN_2026-03-06_05-17-31/57-magic-streamout/CNNver2.gds
2026-03-06 05:32:01 +0000: Memory Usage (424296K) : Ruby Version for klayout: 3.3.10
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : Loading database to memory is complete.
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/CNN4IC/cnnver3_tests/librelane/CNNver3/runs/RUN_2026-03-06_05-17-31/64-klayout-drc/reports/drc.klayout.lyrdb
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : Evaluate switches.
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : tables selected: main
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : KLayout will use 16 thread(s) in tiling mode.
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : deep mode is enabled.
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : FEOL enabled: true
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : BEOL enabled: true
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : OFFGRID enabled: true
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : PIN enabled: true
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : FORBIDDEN enabled: true
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : RECOMMENDED enabled: false
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : PreCheck DRC enabled: false
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : CONNECTIVITY_RULES enabled: true.
2026-03-06 05:32:01 +0000: Memory Usage (444648K) : Read in polygons from layers.
2026-03-06 05:32:01 +0000: Memory Usage (447080K) : activ_drw has 102454 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447080K) : activ_pin has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447080K) : activ_mask has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : activ_filler has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : activ_nofill has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : activ_opc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : activ_iopc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : activ_noqrc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : biwind_drw has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : biwind_opc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447464K) : pemwind_drw has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447592K) : gatpoly_drw has 94642 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447592K) : gatpoly_pin has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447592K) : gatpoly_filler has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447720K) : gatpoly_nofill has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447720K) : gatpoly_opc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447720K) : gatpoly_iopc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447720K) : gatpoly_noqrc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447720K) : cont_drw has 676453 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447848K) : cont_opc has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447848K) : nsd_drw has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (447848K) : nsd_block has 0 polygons
2026-03-06 05:32:01 +0000: Memory Usage (448616K) : metal1_drw has 185459 polygons
2026-03-06 05:32:02 +0000: Memory Usage (448872K) : metal1_pin has 79803 polygons
2026-03-06 05:32:02 +0000: Memory Usage (448872K) : metal1_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (448872K) : metal1_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (448872K) : metal1_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (448872K) : metal1_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (449256K) : metal1_text has 78628 polygons
2026-03-06 05:32:02 +0000: Memory Usage (449256K) : metal1_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (449256K) : metal1_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (449256K) : metal1_res has 0 polygons
