Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_132_1047,VDD,Metal1,508.8000,517.8600,1.200000
FILLER_132_1043,VDD,Metal1,507.3710,517.2630,1.200000
FILLER_132_1036,VDD,Metal1,504.7290,517.2610,1.200000
FILLER_132_1029,VDD,Metal1,501.3690,517.2610,1.200000
FILLER_132_1022,VDD,Metal1,498.0090,517.2610,1.200000
FILLER_132_1015,VDD,Metal1,494.6490,517.2610,1.200000
FILLER_132_1008,VDD,Metal1,491.2890,517.2610,1.200000
FILLER_132_1001,VDD,Metal1,487.9290,517.2610,1.200000
FILLER_132_994,VDD,Metal1,484.5690,517.2610,1.200000
FILLER_132_987,VDD,Metal1,481.2090,517.2610,1.200000
FILLER_132_980,VDD,Metal1,477.8490,517.2610,1.200000
FILLER_132_973,VDD,Metal1,474.4890,517.2610,1.200000
FILLER_132_966,VDD,Metal1,471.1290,517.2610,1.200000
FILLER_132_959,VDD,Metal1,467.7690,517.2610,1.200000
FILLER_132_952,VDD,Metal1,464.4090,517.2610,1.200000
FILLER_132_945,VDD,Metal1,461.0490,517.2610,1.200000
FILLER_132_938,VDD,Metal1,457.6890,517.2610,1.200000
FILLER_132_931,VDD,Metal1,454.3290,517.2610,1.200000
FILLER_132_924,VDD,Metal1,450.9690,517.2610,1.200000
FILLER_132_917,VDD,Metal1,447.6090,517.2610,1.200000
FILLER_132_910,VDD,Metal1,444.2490,517.2610,1.200000
FILLER_132_903,VDD,Metal1,440.8890,517.2610,1.200000
FILLER_132_896,VDD,Metal1,437.5290,517.2610,1.200000
FILLER_132_885,VDD,Metal1,432.2490,517.2610,1.200000
FILLER_132_878,VDD,Metal1,428.8890,517.2610,1.200000
FILLER_132_871,VDD,Metal1,425.5290,517.2610,1.200000
FILLER_132_865,VDD,Metal1,421.4400,517.8600,1.200000
FILLER_132_861,VDD,Metal1,420.0110,517.2630,1.200000
FILLER_132_854,VDD,Metal1,417.3690,517.2610,1.200000
FILLER_132_847,VDD,Metal1,414.0090,517.2610,1.200000
FILLER_132_840,VDD,Metal1,410.6490,517.2610,1.200000
FILLER_132_835,VDD,Metal1,407.0400,517.8600,1.200000
FILLER_132_831,VDD,Metal1,405.6110,517.2630,1.200000
FILLER_132_826,VDD,Metal1,402.4800,517.8600,1.200000
FILLER_132_822,VDD,Metal1,401.2910,517.2630,1.200000
FILLER_132_815,VDD,Metal1,398.6490,517.2610,1.200000
FILLER_132_808,VDD,Metal1,395.2890,517.2610,1.200000
FILLER_132_801,VDD,Metal1,391.9290,517.2610,1.200000
FILLER_132_794,VDD,Metal1,388.5690,517.2610,1.200000
FILLER_132_787,VDD,Metal1,385.2090,517.2610,1.200000
FILLER_132_780,VDD,Metal1,381.8490,517.2610,1.200000
FILLER_132_773,VDD,Metal1,377.7710,517.2630,1.200000
FILLER_132_766,VDD,Metal1,375.1290,517.2610,1.200000
FILLER_132_760,VDD,Metal1,371.0400,517.8600,1.200000
FILLER_132_756,VDD,Metal1,369.6110,517.2630,1.200000
FILLER_132_749,VDD,Metal1,366.9690,517.2610,1.200000
FILLER_132_742,VDD,Metal1,363.6090,517.2610,1.200000
FILLER_132_735,VDD,Metal1,360.2490,517.2610,1.200000
FILLER_132_729,VDD,Metal1,356.1600,517.8600,1.200000
FILLER_132_724,VDD,Metal1,353.7600,517.8600,1.200000
FILLER_132_720,VDD,Metal1,352.3310,517.2630,1.200000
FILLER_132_713,VDD,Metal1,349.6890,517.2610,1.200000
FILLER_132_708,VDD,Metal1,345.8400,517.8600,1.200000
FILLER_132_701,VDD,Metal1,343.9290,517.2610,1.200000
FILLER_132_694,VDD,Metal1,340.5690,517.2610,1.200000
FILLER_132_687,VDD,Metal1,337.2090,517.2610,1.200000
FILLER_132_682,VDD,Metal1,333.3600,517.8600,1.200000
FILLER_132_678,VDD,Metal1,332.1710,517.2630,1.200000
FILLER_132_671,VDD,Metal1,329.5290,517.2610,1.200000
FILLER_132_656,VDD,Metal1,320.8800,517.8600,1.200000
FILLER_132_654,VDD,Metal1,320.1600,517.8600,1.200000
FILLER_132_647,VDD,Metal1,318.0090,517.2610,1.200000
FILLER_132_642,VDD,Metal1,314.1600,517.8600,1.200000
FILLER_132_640,VDD,Metal1,313.4400,517.8600,1.200000
FILLER_132_633,VDD,Metal1,311.2890,517.2610,1.200000
FILLER_132_626,VDD,Metal1,307.9290,517.2610,1.200000
FILLER_132_619,VDD,Metal1,304.5690,517.2610,1.200000
FILLER_132_612,VDD,Metal1,301.2090,517.2610,1.200000
FILLER_132_605,VDD,Metal1,297.8490,517.2610,1.200000
FILLER_132_598,VDD,Metal1,294.4890,517.2610,1.200000
FILLER_132_591,VDD,Metal1,291.1290,517.2610,1.200000
FILLER_132_584,VDD,Metal1,287.7690,517.2610,1.200000
FILLER_132_577,VDD,Metal1,284.4090,517.2610,1.200000
FILLER_132_570,VDD,Metal1,281.0490,517.2610,1.200000
FILLER_132_563,VDD,Metal1,277.6890,517.2610,1.200000
FILLER_132_557,VDD,Metal1,273.6000,517.8600,1.200000
FILLER_132_550,VDD,Metal1,271.4490,517.2610,1.200000
FILLER_132_543,VDD,Metal1,268.0890,517.2610,1.200000
FILLER_132_537,VDD,Metal1,264.0000,517.8600,1.200000
FILLER_132_533,VDD,Metal1,262.5710,517.2630,1.200000
FILLER_132_528,VDD,Metal1,259.6800,517.8600,1.200000
FILLER_132_524,VDD,Metal1,258.2510,517.2630,1.200000
FILLER_132_517,VDD,Metal1,255.6090,517.2610,1.200000
FILLER_132_510,VDD,Metal1,252.2490,517.2610,1.200000
FILLER_132_503,VDD,Metal1,248.8890,517.2610,1.200000
FILLER_132_496,VDD,Metal1,245.5290,517.2610,1.200000
FILLER_132_490,VDD,Metal1,241.4400,517.8600,1.200000
FILLER_132_486,VDD,Metal1,240.0110,517.2630,1.200000
FILLER_132_481,VDD,Metal1,237.1200,517.8600,1.200000
FILLER_132_474,VDD,Metal1,234.9690,517.2610,1.200000
FILLER_132_458,VDD,Metal1,226.0800,517.8600,1.200000
FILLER_132_451,VDD,Metal1,223.9290,517.2610,1.200000
FILLER_132_444,VDD,Metal1,220.5690,517.2610,1.200000
FILLER_132_436,VDD,Metal1,216.0110,517.2630,1.200000
FILLER_132_428,VDD,Metal1,212.1710,517.2630,1.200000
FILLER_132_421,VDD,Metal1,209.5290,517.2610,1.200000
FILLER_132_414,VDD,Metal1,206.1690,517.2610,1.200000
FILLER_132_398,VDD,Metal1,198.4890,517.2610,1.200000
FILLER_132_391,VDD,Metal1,195.1290,517.2610,1.200000
FILLER_132_386,VDD,Metal1,191.2800,517.8600,1.200000
FILLER_132_382,VDD,Metal1,190.0910,517.2630,1.200000
FILLER_132_375,VDD,Metal1,187.4490,517.2610,1.200000
FILLER_132_368,VDD,Metal1,184.0890,517.2610,1.200000
FILLER_132_358,VDD,Metal1,179.2890,517.2610,1.200000
FILLER_132_347,VDD,Metal1,174.0090,517.2610,1.200000
FILLER_132_340,VDD,Metal1,170.6490,517.2610,1.200000
FILLER_132_333,VDD,Metal1,167.2890,517.2610,1.200000
FILLER_132_325,VDD,Metal1,162.7310,517.2630,1.200000
FILLER_132_318,VDD,Metal1,160.0890,517.2610,1.200000
FILLER_132_311,VDD,Metal1,156.7290,517.2610,1.200000
FILLER_132_304,VDD,Metal1,153.3690,517.2610,1.200000
FILLER_132_297,VDD,Metal1,150.0090,517.2610,1.200000
FILLER_132_290,VDD,Metal1,146.6490,517.2610,1.200000
FILLER_132_283,VDD,Metal1,143.2890,517.2610,1.200000
FILLER_132_277,VDD,Metal1,139.2000,517.8600,1.200000
FILLER_132_273,VDD,Metal1,137.7710,517.2630,1.200000
FILLER_132_266,VDD,Metal1,135.1290,517.2610,1.200000
FILLER_132_259,VDD,Metal1,131.7690,517.2610,1.200000
FILLER_132_252,VDD,Metal1,128.4090,517.2610,1.200000
FILLER_132_245,VDD,Metal1,125.0490,517.2610,1.200000
FILLER_132_238,VDD,Metal1,121.6890,517.2610,1.200000
FILLER_132_231,VDD,Metal1,118.3290,517.2610,1.200000
FILLER_132_224,VDD,Metal1,114.9690,517.2610,1.200000
FILLER_132_217,VDD,Metal1,111.6090,517.2610,1.200000
FILLER_132_210,VDD,Metal1,108.2490,517.2610,1.200000
FILLER_132_203,VDD,Metal1,104.8890,517.2610,1.200000
FILLER_132_196,VDD,Metal1,101.5290,517.2610,1.200000
FILLER_132_189,VDD,Metal1,98.1690,517.2610,1.200000
FILLER_132_182,VDD,Metal1,94.8090,517.2610,1.200000
FILLER_132_175,VDD,Metal1,91.4490,517.2610,1.200000
FILLER_132_168,VDD,Metal1,88.0890,517.2610,1.200000
FILLER_132_161,VDD,Metal1,84.7290,517.2610,1.200000
FILLER_132_154,VDD,Metal1,81.3690,517.2610,1.200000
FILLER_132_147,VDD,Metal1,78.0090,517.2610,1.200000
FILLER_132_140,VDD,Metal1,74.6490,517.2610,1.200000
FILLER_132_133,VDD,Metal1,71.2890,517.2610,1.200000
FILLER_132_126,VDD,Metal1,67.9290,517.2610,1.200000
FILLER_132_119,VDD,Metal1,64.5690,517.2610,1.200000
FILLER_132_112,VDD,Metal1,61.2090,517.2610,1.200000
FILLER_132_105,VDD,Metal1,57.8490,517.2610,1.200000
FILLER_132_98,VDD,Metal1,54.4890,517.2610,1.200000
FILLER_132_91,VDD,Metal1,51.1290,517.2610,1.200000
FILLER_132_84,VDD,Metal1,47.7690,517.2610,1.200000
FILLER_132_77,VDD,Metal1,44.4090,517.2610,1.200000
FILLER_132_70,VDD,Metal1,41.0490,517.2610,1.200000
FILLER_132_63,VDD,Metal1,37.6890,517.2610,1.200000
FILLER_132_56,VDD,Metal1,34.3290,517.2610,1.200000
FILLER_132_49,VDD,Metal1,30.9690,517.2610,1.200000
FILLER_132_42,VDD,Metal1,27.6090,517.2610,1.200000
FILLER_132_35,VDD,Metal1,24.2490,517.2610,1.200000
FILLER_132_28,VDD,Metal1,20.8890,517.2610,1.200000
FILLER_132_21,VDD,Metal1,17.5290,517.2610,1.200000
FILLER_132_14,VDD,Metal1,14.1690,517.2610,1.200000
FILLER_132_7,VDD,Metal1,10.8090,517.2610,1.200000
FILLER_132_0,VDD,Metal1,7.4490,517.2610,1.200000
FILLER_131_1042,VDD,Metal1,507.6090,510.8980,1.199999
FILLER_131_1035,VDD,Metal1,504.2490,510.8980,1.199999
FILLER_131_1028,VDD,Metal1,500.8890,510.8980,1.199999
FILLER_131_1021,VDD,Metal1,497.5290,510.8980,1.199999
FILLER_131_1014,VDD,Metal1,494.1690,510.8980,1.199999
FILLER_131_1007,VDD,Metal1,490.8090,510.8980,1.199999
FILLER_131_1000,VDD,Metal1,487.4490,510.8980,1.199999
FILLER_131_993,VDD,Metal1,484.0890,510.8980,1.199999
FILLER_131_986,VDD,Metal1,480.7290,510.8980,1.199999
FILLER_131_979,VDD,Metal1,477.3690,510.8980,1.199999
FILLER_131_972,VDD,Metal1,474.0090,510.8980,1.199999
FILLER_131_965,VDD,Metal1,470.6490,510.8980,1.199998
FILLER_131_958,VDD,Metal1,467.2890,510.8980,1.199997
FILLER_131_951,VDD,Metal1,463.9290,510.8980,1.199996
FILLER_131_944,VDD,Metal1,460.5690,510.8980,1.199996
FILLER_131_937,VDD,Metal1,457.2090,510.8980,1.199995
FILLER_131_930,VDD,Metal1,453.8490,510.8980,1.199994
FILLER_131_923,VDD,Metal1,450.4890,510.8980,1.199993
FILLER_131_916,VDD,Metal1,447.1290,510.8980,1.199992
