net,length_um
net1097,918.28µm
net747,780.48µm
net755,715.365µm
net723,705.965µm
net761,705.28µm
net739,696.645µm
net719,679.67µm
net735,668.335µm
net743,667.83µm
net767,666.175µm
net771,653.955µm
net872,639.9µm
_06185_,638.05µm
net913,631.375µm
net751,630.26µm
net727,629.195µm
net865,622.87µm
net885,620.69µm
net906,619.64µm
net763,616.845µm
net731,606.39µm
net757,595.31µm
_01862_,593.86µm
net203,589.035µm
_06267_,588.39µm
net745,586.945µm
net759,576.29µm
net898,562.845µm
net581,559.71µm
net718,558.235µm
net741,553.64µm
net586,549.12µm
net368,544.515µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[13\],539.91µm
_06264_,532.43µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[23\],529.4µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[9\],521.36µm
net162,519.005µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[15\],514.565µm
net197,511.475µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[19\],499.34µm
_06179_,498.305µm
net765,493.775µm
net858,489.265µm
_06165_,488.905µm
net393,482.44µm
net194,480.9µm
net725,475.585µm
net578,475.25µm
cnn_inst.comm_mem_u0.o_img_row08\[0\],472.23µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[20\],466.935µm
net569,464.365µm
net899,463.6µm
_01843_,462.14µm
net499,457.945µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[21\],457.7µm
net17,457.345µm
net737,455.72µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[17\],452.98µm
net52,452.92µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[28\],452.06µm
net176,450.72µm
net712,447.77µm
net753,445.32µm
net72,443.475µm
_06742_,437.17µm
net47,436.76µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[25\],436µm
net1031,430.725µm
_06496_,427.445µm
net729,426.265µm
net328,424.21µm
net372,421.185µm
net768,417.2µm
net367,414.36µm
_00024_,412.375µm
_06561_,410.315µm
_01831_,409.515µm
net733,406.93µm
net774,406.575µm
net19,404.325µm
net99,399.215µm
net1047,398.79µm
net540,394.465µm
_06824_,391.82µm
net749,387.905µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[9\],387.27µm
net961,384.65µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[8\],383.83µm
net720,380.595µm
net191,380.025µm
_06625_,378.345µm
net377,376.99µm
net106,375.935µm
cnn_inst.comm_mem_u0.o_img_row06\[28\],374.87µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[10\],373.245µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[27\],371.96µm
net643,369.855µm
net395,369.16µm
net807,368.055µm
_01851_,365.845µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[18\],365.55µm
cnn_inst.comm_mem_u0.o_img_row03\[5\],364.88µm
net193,362.76µm
cnn_inst.comm_mem_u0.spi_u0.image_shift\[22\],362.405µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[11\],361.395µm
net575,361.375µm
