Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_134_1068,VSS,Metal1,518.8800,521.6400,0.000000
FILLER_134_1061,VSS,Metal1,516.7260,522.1000,0.000000
FILLER_134_1054,VSS,Metal1,513.3660,522.1000,0.000000
FILLER_134_1047,VSS,Metal1,510.0060,522.1000,0.000000
FILLER_134_1040,VSS,Metal1,506.6460,522.1000,0.000000
FILLER_134_1033,VSS,Metal1,503.2860,522.1000,0.000000
FILLER_134_1026,VSS,Metal1,499.9260,522.1000,0.000000
FILLER_134_1019,VSS,Metal1,496.5660,522.1000,0.000000
FILLER_134_1012,VSS,Metal1,493.2060,522.1000,0.000000
FILLER_134_1005,VSS,Metal1,489.8460,522.1000,0.000000
FILLER_134_998,VSS,Metal1,486.4860,522.1000,0.000000
FILLER_134_991,VSS,Metal1,483.1260,522.1000,0.000000
FILLER_134_984,VSS,Metal1,479.7660,522.1000,0.000000
FILLER_134_977,VSS,Metal1,476.4060,522.1000,0.000000
FILLER_134_970,VSS,Metal1,473.0460,522.1000,0.000000
FILLER_134_963,VSS,Metal1,469.6860,522.1000,0.000000
FILLER_134_956,VSS,Metal1,466.3260,522.1000,0.000000
FILLER_134_949,VSS,Metal1,462.9660,522.1000,0.000000
FILLER_134_942,VSS,Metal1,459.6060,522.1000,0.000000
FILLER_134_935,VSS,Metal1,456.2460,522.1000,0.000000
FILLER_134_928,VSS,Metal1,452.8860,522.1000,0.000000
FILLER_134_921,VSS,Metal1,449.5260,522.1000,0.000000
FILLER_134_916,VSS,Metal1,445.6800,521.6400,0.000000
FILLER_134_912,VSS,Metal1,444.4680,522.0160,0.000000
FILLER_134_905,VSS,Metal1,441.8460,522.1000,0.000000
FILLER_134_898,VSS,Metal1,438.4860,522.1000,0.000000
FILLER_134_891,VSS,Metal1,435.1260,522.1000,0.000000
FILLER_134_884,VSS,Metal1,431.7660,522.1000,0.000000
FILLER_134_877,VSS,Metal1,428.4060,522.1000,0.000000
FILLER_134_870,VSS,Metal1,425.0460,522.1000,0.000000
FILLER_134_863,VSS,Metal1,421.6860,522.1000,0.000000
FILLER_134_856,VSS,Metal1,418.3260,522.1000,0.000000
FILLER_134_849,VSS,Metal1,414.9660,522.1000,0.000000
FILLER_134_842,VSS,Metal1,411.6060,522.1000,0.000000
FILLER_134_835,VSS,Metal1,408.2460,522.1000,0.000000
FILLER_134_828,VSS,Metal1,404.8860,522.1000,0.000000
FILLER_134_821,VSS,Metal1,401.5260,522.1000,0.000000
FILLER_134_814,VSS,Metal1,398.1660,522.1000,0.000000
FILLER_134_807,VSS,Metal1,394.8060,522.1000,0.000001
FILLER_134_800,VSS,Metal1,391.4460,522.1000,0.000001
FILLER_134_793,VSS,Metal1,388.0860,522.1000,0.000001
FILLER_134_786,VSS,Metal1,384.7260,522.1000,0.000001
FILLER_134_779,VSS,Metal1,381.3660,522.1000,0.000001
FILLER_134_772,VSS,Metal1,378.0060,522.1000,0.000001
FILLER_134_765,VSS,Metal1,374.6460,522.1000,0.000002
FILLER_134_758,VSS,Metal1,371.2860,522.1000,0.000002
FILLER_134_751,VSS,Metal1,367.9260,522.1000,0.000002
FILLER_134_744,VSS,Metal1,364.5660,522.1000,0.000002
FILLER_134_737,VSS,Metal1,361.2060,522.1000,0.000002
FILLER_134_730,VSS,Metal1,357.8460,522.1000,0.000002
FILLER_134_723,VSS,Metal1,354.4860,522.1000,0.000002
FILLER_134_716,VSS,Metal1,351.1260,522.1000,0.000002
FILLER_134_709,VSS,Metal1,347.7660,522.1000,0.000002
FILLER_134_702,VSS,Metal1,344.4060,522.1000,0.000002
FILLER_134_695,VSS,Metal1,341.0460,522.1000,0.000002
FILLER_134_688,VSS,Metal1,337.6860,522.1000,0.000002
FILLER_134_681,VSS,Metal1,334.3260,522.1000,0.000002
FILLER_134_676,VSS,Metal1,330.4800,521.6400,0.000002
FILLER_134_672,VSS,Metal1,329.2680,522.0160,0.000002
FILLER_134_665,VSS,Metal1,326.6460,522.1000,0.000001
FILLER_134_658,VSS,Metal1,323.2860,522.1000,0.000001
FILLER_134_651,VSS,Metal1,319.9260,522.1000,0.000001
FILLER_134_644,VSS,Metal1,316.5660,522.1000,0.000001
FILLER_134_637,VSS,Metal1,313.2060,522.1000,0.000002
FILLER_134_630,VSS,Metal1,309.8460,522.1000,0.000002
FILLER_134_623,VSS,Metal1,306.4860,522.1000,0.000002
FILLER_134_616,VSS,Metal1,303.1260,522.1000,0.000002
FILLER_134_609,VSS,Metal1,299.7660,522.1000,0.000003
FILLER_134_602,VSS,Metal1,296.4060,522.1000,0.000003
FILLER_134_595,VSS,Metal1,293.0460,522.1000,0.000003
FILLER_134_588,VSS,Metal1,289.6860,522.1000,0.000003
FILLER_134_581,VSS,Metal1,286.3260,522.1000,0.000003
FILLER_134_574,VSS,Metal1,282.9660,522.1000,0.000003
FILLER_134_567,VSS,Metal1,279.6060,522.1000,0.000003
FILLER_134_560,VSS,Metal1,276.2460,522.1000,0.000002
FILLER_134_553,VSS,Metal1,272.8860,522.1000,0.000002
FILLER_134_546,VSS,Metal1,269.5260,522.1000,0.000002
FILLER_134_539,VSS,Metal1,266.1660,522.1000,0.000001
FILLER_134_532,VSS,Metal1,262.8060,522.1000,0.000001
FILLER_134_525,VSS,Metal1,259.4460,522.1000,0.000001
FILLER_134_518,VSS,Metal1,256.0860,522.1000,0.000000
FILLER_134_511,VSS,Metal1,252.7260,522.1000,0.000000
FILLER_134_504,VSS,Metal1,249.3660,522.1000,0.000000
FILLER_134_497,VSS,Metal1,246.0060,522.1000,0.000000
FILLER_134_490,VSS,Metal1,242.6460,522.1000,0.000000
FILLER_134_483,VSS,Metal1,239.2860,522.1000,0.000001
FILLER_134_476,VSS,Metal1,235.9260,522.1000,0.000001
FILLER_134_469,VSS,Metal1,232.5660,522.1000,0.000001
FILLER_134_462,VSS,Metal1,229.2060,522.1000,0.000001
FILLER_134_455,VSS,Metal1,225.8460,522.1000,0.000001
FILLER_134_448,VSS,Metal1,222.4860,522.1000,0.000001
FILLER_134_441,VSS,Metal1,219.1260,522.1000,0.000001
FILLER_134_434,VSS,Metal1,215.7660,522.1000,0.000001
FILLER_134_427,VSS,Metal1,212.4060,522.1000,0.000001
FILLER_134_420,VSS,Metal1,209.0460,522.1000,0.000001
FILLER_134_413,VSS,Metal1,205.6860,522.1000,0.000001
FILLER_134_406,VSS,Metal1,202.3260,522.1000,0.000001
FILLER_134_399,VSS,Metal1,198.9660,522.1000,0.000001
FILLER_134_392,VSS,Metal1,195.6060,522.1000,0.000001
FILLER_134_385,VSS,Metal1,192.2460,522.1000,0.000001
FILLER_134_378,VSS,Metal1,188.8860,522.1000,0.000000
FILLER_134_371,VSS,Metal1,185.5260,522.1000,0.000000
FILLER_134_364,VSS,Metal1,182.1660,522.1000,0.000000
FILLER_134_357,VSS,Metal1,178.8060,522.1000,0.000000
FILLER_134_350,VSS,Metal1,175.4460,522.1000,0.000000
FILLER_134_343,VSS,Metal1,172.0860,522.1000,0.000000
FILLER_134_336,VSS,Metal1,168.7260,522.1000,0.000000
FILLER_134_329,VSS,Metal1,165.3660,522.1000,0.000000
FILLER_134_322,VSS,Metal1,162.0060,522.1000,0.000000
FILLER_134_315,VSS,Metal1,158.6460,522.1000,0.000001
FILLER_134_308,VSS,Metal1,155.2860,522.1000,0.000001
FILLER_134_301,VSS,Metal1,151.9260,522.1000,0.000001
FILLER_134_294,VSS,Metal1,148.5660,522.1000,0.000001
FILLER_134_287,VSS,Metal1,145.2060,522.1000,0.000001
FILLER_134_280,VSS,Metal1,141.8460,522.1000,0.000001
FILLER_134_273,VSS,Metal1,138.4860,522.1000,0.000001
FILLER_134_266,VSS,Metal1,135.1260,522.1000,0.000001
FILLER_134_259,VSS,Metal1,131.7660,522.1000,0.000001
FILLER_134_252,VSS,Metal1,128.4060,522.1000,0.000001
FILLER_134_245,VSS,Metal1,125.0460,522.1000,0.000001
FILLER_134_238,VSS,Metal1,121.6860,522.1000,0.000001
FILLER_134_231,VSS,Metal1,118.3260,522.1000,0.000001
FILLER_134_224,VSS,Metal1,114.9660,522.1000,0.000000
FILLER_134_217,VSS,Metal1,111.6060,522.1000,0.000000
FILLER_134_210,VSS,Metal1,108.2460,522.1000,0.000000
FILLER_134_203,VSS,Metal1,104.8860,522.1000,0.000000
FILLER_134_196,VSS,Metal1,101.5260,522.1000,0.000000
FILLER_134_189,VSS,Metal1,98.1660,522.1000,0.000000
