Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_134_1068,VDD,Metal1,518.8800,525.4200,1.200000
FILLER_134_1061,VDD,Metal1,516.7290,524.8210,1.200000
FILLER_134_1054,VDD,Metal1,513.3690,524.8210,1.200000
FILLER_134_1047,VDD,Metal1,510.0090,524.8210,1.200000
FILLER_134_1040,VDD,Metal1,506.6490,524.8210,1.200000
FILLER_134_1033,VDD,Metal1,503.2890,524.8210,1.200000
FILLER_134_1026,VDD,Metal1,499.9290,524.8210,1.200000
FILLER_134_1019,VDD,Metal1,496.5690,524.8210,1.200000
FILLER_134_1012,VDD,Metal1,493.2090,524.8210,1.200000
FILLER_134_1005,VDD,Metal1,489.8490,524.8210,1.200000
FILLER_134_998,VDD,Metal1,486.4890,524.8210,1.200000
FILLER_134_991,VDD,Metal1,483.1290,524.8210,1.200000
FILLER_134_984,VDD,Metal1,479.7690,524.8210,1.200000
FILLER_134_977,VDD,Metal1,476.4090,524.8210,1.200000
FILLER_134_970,VDD,Metal1,473.0490,524.8210,1.200000
FILLER_134_963,VDD,Metal1,469.6890,524.8210,1.200000
FILLER_134_956,VDD,Metal1,466.3290,524.8210,1.200000
FILLER_134_949,VDD,Metal1,462.9690,524.8210,1.200000
FILLER_134_942,VDD,Metal1,459.6090,524.8210,1.200000
FILLER_134_935,VDD,Metal1,456.2490,524.8210,1.200000
FILLER_134_928,VDD,Metal1,452.8890,524.8210,1.200000
FILLER_134_921,VDD,Metal1,449.5290,524.8210,1.200000
FILLER_134_916,VDD,Metal1,445.6800,525.4200,1.200000
FILLER_134_912,VDD,Metal1,444.4910,524.8230,1.200000
FILLER_134_905,VDD,Metal1,441.8490,524.8210,1.200000
FILLER_134_898,VDD,Metal1,438.4890,524.8210,1.200000
FILLER_134_891,VDD,Metal1,435.1290,524.8210,1.200000
FILLER_134_884,VDD,Metal1,431.7690,524.8210,1.200000
FILLER_134_877,VDD,Metal1,428.4090,524.8210,1.200000
FILLER_134_870,VDD,Metal1,425.0490,524.8210,1.200000
FILLER_134_863,VDD,Metal1,421.6890,524.8210,1.200000
FILLER_134_856,VDD,Metal1,418.3290,524.8210,1.200000
FILLER_134_849,VDD,Metal1,414.9690,524.8210,1.200000
FILLER_134_842,VDD,Metal1,411.6090,524.8210,1.200000
FILLER_134_835,VDD,Metal1,408.2490,524.8210,1.200000
FILLER_134_828,VDD,Metal1,404.8890,524.8210,1.200000
FILLER_134_821,VDD,Metal1,401.5290,524.8210,1.200000
FILLER_134_814,VDD,Metal1,398.1690,524.8210,1.200000
FILLER_134_807,VDD,Metal1,394.8090,524.8210,1.200000
FILLER_134_800,VDD,Metal1,391.4490,524.8210,1.200000
FILLER_134_793,VDD,Metal1,388.0890,524.8210,1.199999
FILLER_134_786,VDD,Metal1,384.7290,524.8210,1.199999
FILLER_134_779,VDD,Metal1,381.3690,524.8210,1.199999
FILLER_134_772,VDD,Metal1,378.0090,524.8210,1.199999
FILLER_134_765,VDD,Metal1,374.6490,524.8210,1.199999
FILLER_134_758,VDD,Metal1,371.2890,524.8210,1.199999
FILLER_134_751,VDD,Metal1,367.9290,524.8210,1.199999
