net,length_um
clknet_0_clk_i,165.085µm
net21,158.215µm
net23,110.45µm
net20,107.59µm
net25,80.29µm
net26,76.12µm
net22,74.52µm
net24,72.04µm
clk_i,68.4µm
spm_inst.genblk1\[1\].csa.y,49.23µm
net2,46.805µm
ui_PAD2CORE[3],43.765µm
clknet_3_1__leaf_clk_i,42.85µm
net55,42.5µm
clknet_3_3__leaf_clk_i,40.7µm
net82,40.38µm
clknet_3_2__leaf_clk_i,37.955µm
_028_,37.26µm
spm_inst.genblk1\[3\].csa.sc,34.33µm
ui_PAD2CORE[2],33.815µm
_032_,32.83µm
net52,32.655µm
net79,32.655µm
spm_inst.genblk1\[5\].csa.y,32.3µm
spm_inst.csa0.y,31.575µm
_053_,31.38µm
_036_,31.03µm
spm_inst.genblk1\[8\].csa.y,30.92µm
net58,30.525µm
_056_,30.265µm
spm_inst.genblk1\[7\].csa.y,30.25µm
net85,30.24µm
net43,30.06µm
net70,29.675µm
net18,29.53µm
clknet_3_6__leaf_clk_i,29.185µm
net76,28.82µm
_061_,27.555µm
spm_inst.genblk1\[11\].csa.y,27.535µm
_057_,27.06µm
spm_inst.genblk1\[14\].csa.y,26.9µm
net90,26.59µm
net12,25.92µm
spm_inst.genblk1\[12\].csa.y,25.68µm
net49,25.57µm
net73,25.2µm
_034_,24.85µm
net3,24.67µm
_048_,24.3µm
clknet_3_0__leaf_clk_i,23.82µm
clknet_3_4__leaf_clk_i,23.82µm
spm_inst.genblk1\[13\].csa.y,23.755µm
_020_,23.66µm
spm_inst.genblk1\[10\].csa.y,23.055µm
ui_PAD2CORE[1],22.525µm
clknet_3_7__leaf_clk_i,22.5µm
net27,22.465µm
_052_,22.425µm
clknet_3_5__leaf_clk_i,22.02µm
net88,21.49µm
spm_inst.genblk1\[6\].csa.y,20.84µm
net13,20.65µm
_044_,20.365µm
net,20.305µm
_071_,19.68µm
net92,19.51µm
_045_,19.27µm
_035_,19.15µm
rst_ni,19.14µm
net41,19.105µm
ui_PAD2CORE[6],19.04µm
_006_,18.85µm
ui_PAD2CORE[12],18.84µm
ui_PAD2CORE[11],18.8µm
net61,18.79µm
spm_inst.genblk1\[2\].csa.y,18.74µm
ui_PAD2CORE[5],18.56µm
_029_,18.54µm
spm_inst.genblk1\[4\].csa.y,18.49µm
_060_,18.37µm
_016_,17.95µm
ui_PAD2CORE[0],17.94µm
_065_,17.78µm
net29,17.665µm
_049_,17.59µm
net67,17.56µm
ui_PAD2CORE[10],17.4µm
net83,17.16µm
_026_,17.05µm
net28,16.945µm
_030_,16.81µm
spm_inst.genblk1\[10\].csa.hsum2,16.5µm
_018_,16.39µm
net64,15.4µm
net46,15.32µm
_037_,15.3µm
net99,15.3µm
_000_,15.285µm
_058_,15.13µm
net74,15.13µm
_050_,14.4µm
uo_CORE2PAD[0],14.365µm
ui_PAD2CORE[8],14.34µm
net37,14.305µm
_025_,14.18µm
net39,13.945µm
_040_,13.79µm
net30,13.705µm
net32,13.705µm
_073_,13.68µm
net42,13.5µm
ui_PAD2CORE[4],13.045µm
net35,12.72µm
_024_,12.615µm
spm_inst.genblk1\[6\].csa.hsum2,12.54µm
spm_inst.genblk1\[5\].csa.sc,12.48µm
spm_inst.genblk1\[1\].csa.hsum2,12.37µm
_075_,12.33µm
spm_inst.genblk1\[12\].csa.hsum2,11.72µm
_038_,11.46µm
ui_PAD2CORE[9],11.365µm
spm_inst.genblk1\[10\].csa.sum,11.29µm
_069_,10.98µm
net94,10.93µm
_059_,10.57µm
net34,10.56µm
net50,10.51µm
_054_,10.5µm
spm_inst.genblk1\[9\].csa.hsum2,10.45µm
net95,10.45µm
_001_,10.34µm
_002_,10.32µm
_003_,10.32µm
net84,10.15µm
net4,10.03µm
net17,9.84µm
net38,9.72µm
net19,9.61µm
_033_,9.595µm
net59,9.585µm
spm_inst.csa0.sum,9.55µm
net100,9.55µm
_007_,9.37µm
ui_PAD2CORE[14],9.3µm
_077_,9.26µm
spm_inst.genblk1\[9\].csa.sc,9.18µm
net40,9.12µm
net31,9.12µm
net65,9.07µm
net57,8.71µm
net72,8.71µm
net101,8.7µm
_046_,8.685µm
net77,8.64µm
_063_,8.59µm
_019_,8.46µm
ui_PAD2CORE[15],8.46µm
net93,8.11µm
_070_,7.925µm
net80,7.74µm
net51,7.63µm
ui_PAD2CORE[16],7.62µm
ui_PAD2CORE[7],7.62µm
_076_,7.555µm
_009_,7.46µm
net78,7.26µm
net102,7.26µm
spm_inst.csa0.hsum2,7.2µm
spm_inst.genblk1\[4\].csa.hsum2,7.2µm
_021_,7.14µm
net97,6.98µm
_010_,6.97µm
spm_inst.genblk1\[14\].csa.sc,6.885µm
ui_PAD2CORE[13],6.78µm
net33,6.73µm
_055_,6.72µm
spm_inst.genblk1\[5\].csa.hsum2,6.72µm
_062_,6.67µm
spm_inst.csa0.sc,6.595µm
net62,6.595µm
spm_inst.genblk1\[2\].csa.hsum2,6.55µm
_047_,6.54µm
_066_,6.5µm
_005_,6.49µm
_013_,6.49µm
_004_,6.48µm
net36,6.36µm
_014_,6.25µm
net44,6.19µm
net69,6.19µm
net48,5.985µm
spm_inst.genblk1\[7\].csa.sc,5.82µm
_031_,5.77µm
_017_,5.71µm
net53,5.71µm
net7,5.23µm
_039_,5.155µm
_011_,5.06µm
_012_,5.06µm
spm_inst.genblk1\[13\].csa.hsum2,4.87µm
spm_inst.genblk1\[12\].csa.sc,4.86µm
net5,4.86µm
_064_,4.62µm
_043_,4.44µm
net56,4.44µm
_074_,4.38µm
net96,4.38µm
_067_,4.09µm
net75,4.02µm
