Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_122,VSS,Metal1,65.2680,83.5360,0.000209
FILLER_18_115,VSS,Metal1,62.6460,83.6200,0.000204
FILLER_18_108,VSS,Metal1,59.2860,83.6200,0.000204
FILLER_18_101,VSS,Metal1,55.9260,83.6200,0.000203
FILLER_18_94,VSS,Metal1,52.5660,83.6200,0.000203
FILLER_18_87,VSS,Metal1,49.2060,83.6200,0.000196
FILLER_18_72,VSS,Metal1,42.0060,83.6200,0.000170
FILLER_18_62,VSS,Metal1,35.7600,83.1600,0.000131
FILLER_18_40,VSS,Metal1,25.4400,83.1600,0.000031
FILLER_18_33,VSS,Metal1,23.2860,83.6200,0.000048
FILLER_18_26,VSS,Metal1,19.9260,83.6200,0.000060
FILLER_18_19,VSS,Metal1,16.5660,83.6200,0.000061
FILLER_18_12,VSS,Metal1,13.2060,83.6200,0.000064
FILLER_17_141,VSS,Metal1,73.6800,83.1600,0.000218
FILLER_17_139,VSS,Metal1,72.9600,83.1600,0.000218
FILLER_17_134,VSS,Metal1,70.3200,83.1600,0.000216
FILLER_17_119,VSS,Metal1,63.1200,83.1600,0.000204
FILLER_17_112,VSS,Metal1,61.2060,82.6990,0.000204
FILLER_17_105,VSS,Metal1,57.8460,82.6990,0.000203
FILLER_17_98,VSS,Metal1,54.4860,82.6990,0.000203
FILLER_17_69,VSS,Metal1,39.8280,82.7830,0.000134
FILLER_17_37,VSS,Metal1,24.0000,83.1600,0.000048
FILLER_17_33,VSS,Metal1,22.5480,82.7830,0.000048
FILLER_17_26,VSS,Metal1,19.9260,82.6990,0.000060
FILLER_17_19,VSS,Metal1,16.5660,82.6990,0.000061
FILLER_17_13,VSS,Metal1,12.4800,83.1600,0.000064
FILLER_16_149,VSS,Metal1,77.5200,75.6000,0.000816
FILLER_16_147,VSS,Metal1,76.8000,75.6000,0.000816
FILLER_16_110,VSS,Metal1,58.8000,75.6000,0.000792
FILLER_16_108,VSS,Metal1,58.0800,75.6000,0.000792
FILLER_16_101,VSS,Metal1,55.9260,76.0600,0.000792
FILLER_16_83,VSS,Metal1,45.8400,75.6000,0.000214
FILLER_16_52,VSS,Metal1,31.6680,75.9760,0.000192
FILLER_15_136,VSS,Metal1,71.2800,75.6000,0.000793
FILLER_15_67,VSS,Metal1,38.1600,75.6000,0.000192
FILLER_15_39,VSS,Metal1,24.7200,75.6000,0.000121
FILLER_15_37,VSS,Metal1,24.0000,75.6000,0.000121
FILLER_15_30,VSS,Metal1,21.8460,75.1390,0.000126
FILLER_15_2,VSS,Metal1,6.9600,75.6000,0.000128
FILLER_15_0,VSS,Metal1,6.2400,75.6000,0.000128
FILLER_14_124,VSS,Metal1,65.5200,68.0400,0.001390
FILLER_14_107,VSS,Metal1,57.3600,68.0400,0.001308
FILLER_14_102,VSS,Metal1,54.9600,68.0400,0.001265
FILLER_14_100,VSS,Metal1,54.2400,68.0400,0.001258
FILLER_14_68,VSS,Metal1,38.6400,68.0400,0.000376
FILLER_14_39,VSS,Metal1,24.9600,68.0400,0.000118
FILLER_14_35,VSS,Metal1,23.5080,68.4160,0.000118
FILLER_13_114,VSS,Metal1,60.7200,68.0400,0.001319
FILLER_13_112,VSS,Metal1,60.0000,68.0400,0.001319
FILLER_13_67,VSS,Metal1,38.4000,68.0400,0.000376
FILLER_13_42,VSS,Metal1,26.4000,68.0400,0.000207
FILLER_13_35,VSS,Metal1,24.2460,67.5790,0.000118
FILLER_13_28,VSS,Metal1,20.8860,67.5790,0.000184
FILLER_13_22,VSS,Metal1,16.8000,68.0400,0.000186
FILLER_13_8,VSS,Metal1,9.8400,68.0400,0.000187
FILLER_13_4,VSS,Metal1,8.6280,67.6630,0.000187
FILLER_12_145,VSS,Metal1,75.6000,60.4800,0.000605
FILLER_12_143,VSS,Metal1,74.8800,60.4800,0.000605
FILLER_12_111,VSS,Metal1,59.2800,60.4800,0.000550
FILLER_12_76,VSS,Metal1,42.4800,60.4800,0.000331
FILLER_12_74,VSS,Metal1,41.7600,60.4800,0.000318
FILLER_12_45,VSS,Metal1,27.8400,60.4800,0.000108
FILLER_12_0,VSS,Metal1,6.0000,60.4800,0.000211
FILLER_11_140,VSS,Metal1,73.2000,60.4800,0.000598
FILLER_11_138,VSS,Metal1,72.4800,60.4800,0.000598
FILLER_11_120,VSS,Metal1,63.6000,60.4800,0.000598
FILLER_11_118,VSS,Metal1,62.8800,60.4800,0.000598
FILLER_11_107,VSS,Metal1,57.6000,60.4800,0.000542
FILLER_11_79,VSS,Metal1,43.9200,60.4800,0.000519
FILLER_11_77,VSS,Metal1,43.2000,60.4800,0.000331
FILLER_11_38,VSS,Metal1,24.2400,60.4800,0.000107
FILLER_11_36,VSS,Metal1,23.5200,60.4800,0.000142
FILLER_11_7,VSS,Metal1,9.6000,60.4800,0.000211
FILLER_11_0,VSS,Metal1,7.4460,60.0190,0.000211
FILLER_10_148,VSS,Metal1,77.2800,52.9200,0.002090
FILLER_10_76,VSS,Metal1,42.4800,52.9200,0.001666
FILLER_10_40,VSS,Metal1,25.2000,52.9200,0.000148
FILLER_10_36,VSS,Metal1,23.9880,53.2960,0.000592
FILLER_10_29,VSS,Metal1,21.3660,53.3800,0.000609
FILLER_10_4,VSS,Metal1,7.9200,52.9200,0.000616
FILLER_9_123,VSS,Metal1,65.0400,52.9200,0.002084
FILLER_9_121,VSS,Metal1,64.3200,52.9200,0.002084
FILLER_9_107,VSS,Metal1,57.3600,52.9200,0.001697
FILLER_9_38,VSS,Metal1,24.2400,52.9200,0.000592
FILLER_9_36,VSS,Metal1,23.5200,52.9200,0.000592
FILLER_9_0,VSS,Metal1,6.0000,52.9200,0.000616
FILLER_8_140,VSS,Metal1,73.2000,45.3600,0.000704
FILLER_8_75,VSS,Metal1,42.7080,45.7360,0.000571
FILLER_8_39,VSS,Metal1,24.7200,45.3600,0.000129
FILLER_8_37,VSS,Metal1,24.0000,45.3600,0.000129
FILLER_8_0,VSS,Metal1,6.0000,45.3600,0.000159
FILLER_7_113,VSS,Metal1,60.4800,45.3600,0.000642
FILLER_7_58,VSS,Metal1,33.8400,45.3600,0.000467
FILLER_7_56,VSS,Metal1,33.1200,45.3600,0.000467
FILLER_7_40,VSS,Metal1,25.4400,45.3600,0.000112
FILLER_7_36,VSS,Metal1,23.9880,44.9830,0.000129
FILLER_6_139,VSS,Metal1,72.9600,37.8000,0.001650
FILLER_6_111,VSS,Metal1,59.2800,37.8000,0.001546
FILLER_6_64,VSS,Metal1,36.9600,37.8000,0.000899
FILLER_6_60,VSS,Metal1,35.5080,38.1760,0.000883
FILLER_6_48,VSS,Metal1,29.7480,38.1760,0.000594
FILLER_6_41,VSS,Metal1,27.1260,38.2600,0.000224
FILLER_5_108,VSS,Metal1,57.8400,37.8000,0.001481
FILLER_5_75,VSS,Metal1,42.2400,37.8000,0.001113
FILLER_5_65,VSS,Metal1,37.2000,37.8000,0.000899
FILLER_5_61,VSS,Metal1,35.9880,37.4230,0.000883
FILLER_5_54,VSS,Metal1,33.3660,37.3390,0.000624
FILLER_5_47,VSS,Metal1,30.0060,37.3390,0.000594
FILLER_5_10,VSS,Metal1,10.8000,37.8000,0.000226
FILLER_5_4,VSS,Metal1,8.1600,37.8000,0.000227
FILLER_4_149,VSS,Metal1,77.5200,30.2400,0.000587
FILLER_4_147,VSS,Metal1,76.8000,30.2400,0.000587
FILLER_4_111,VSS,Metal1,59.2800,30.2400,0.000520
