Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_18_122,VDD,Metal1,65.2910,86.3430,1.199911
FILLER_18_115,VDD,Metal1,62.6490,86.3410,1.199911
FILLER_18_108,VDD,Metal1,59.2890,86.3410,1.199911
FILLER_18_101,VDD,Metal1,55.9290,86.3410,1.199911
FILLER_18_94,VDD,Metal1,52.5690,86.3410,1.199911
FILLER_18_87,VDD,Metal1,49.2090,86.3410,1.199911
FILLER_18_72,VDD,Metal1,42.0090,86.3410,1.199912
FILLER_18_62,VDD,Metal1,35.7600,86.9400,1.199926
FILLER_18_40,VDD,Metal1,25.4400,86.9400,1.199985
FILLER_18_33,VDD,Metal1,23.2890,86.3410,1.199986
FILLER_18_26,VDD,Metal1,19.9290,86.3410,1.199991
FILLER_18_19,VDD,Metal1,16.5690,86.3410,1.199991
FILLER_18_12,VDD,Metal1,13.2090,86.3410,1.199991
FILLER_17_141,VDD,Metal1,73.6800,79.3800,1.198665
FILLER_17_139,VDD,Metal1,72.9600,79.3800,1.198665
FILLER_17_134,VDD,Metal1,70.3200,79.3800,1.198672
FILLER_17_119,VDD,Metal1,63.1200,79.3800,1.198672
FILLER_17_112,VDD,Metal1,61.2090,79.9780,1.198672
FILLER_17_105,VDD,Metal1,57.8490,79.9780,1.198945
FILLER_17_98,VDD,Metal1,54.4890,79.9780,1.199003
FILLER_17_69,VDD,Metal1,39.8510,79.9760,1.199171
FILLER_17_37,VDD,Metal1,24.0000,79.3800,1.199437
FILLER_17_33,VDD,Metal1,22.5710,79.9760,1.199444
FILLER_17_26,VDD,Metal1,19.9290,79.9780,1.199444
FILLER_17_19,VDD,Metal1,16.5690,79.9780,1.199444
FILLER_17_13,VDD,Metal1,12.4800,79.3800,1.199444
FILLER_16_149,VDD,Metal1,77.5200,79.3800,1.198664
FILLER_16_147,VDD,Metal1,76.8000,79.3800,1.198664
FILLER_16_110,VDD,Metal1,58.8000,79.3800,1.198945
FILLER_16_108,VDD,Metal1,58.0800,79.3800,1.198945
FILLER_16_101,VDD,Metal1,55.9290,78.7810,1.199003
FILLER_16_83,VDD,Metal1,45.8400,79.3800,1.199168
FILLER_16_52,VDD,Metal1,31.6910,78.7830,1.199197
FILLER_15_136,VDD,Metal1,71.2800,71.8200,1.198755
FILLER_15_67,VDD,Metal1,38.1600,71.8200,1.199569
FILLER_15_39,VDD,Metal1,24.7200,71.8200,1.199727
FILLER_15_37,VDD,Metal1,24.0000,71.8200,1.199865
FILLER_15_30,VDD,Metal1,21.8490,72.4180,1.199874
FILLER_15_2,VDD,Metal1,6.9600,71.8200,1.199879
FILLER_15_0,VDD,Metal1,6.2400,71.8200,1.199879
FILLER_14_124,VDD,Metal1,65.5200,71.8200,1.198773
FILLER_14_107,VDD,Metal1,57.3600,71.8200,1.198802
FILLER_14_102,VDD,Metal1,54.9600,71.8200,1.198824
FILLER_14_100,VDD,Metal1,54.2400,71.8200,1.198824
FILLER_14_68,VDD,Metal1,38.6400,71.8200,1.199569
FILLER_14_39,VDD,Metal1,24.9600,71.8200,1.199727
FILLER_14_35,VDD,Metal1,23.5310,71.2230,1.199865
FILLER_13_114,VDD,Metal1,60.7200,64.2600,1.196473
FILLER_13_112,VDD,Metal1,60.0000,64.2600,1.196473
FILLER_13_67,VDD,Metal1,38.4000,64.2600,1.199301
FILLER_13_42,VDD,Metal1,26.4000,64.2600,1.199400
FILLER_13_35,VDD,Metal1,24.2490,64.8580,1.199411
FILLER_13_28,VDD,Metal1,20.8890,64.8580,1.199784
FILLER_13_22,VDD,Metal1,16.8000,64.2600,1.199890
FILLER_13_8,VDD,Metal1,9.8400,64.2600,1.199819
FILLER_13_4,VDD,Metal1,8.6510,64.8560,1.199819
FILLER_12_145,VDD,Metal1,75.6000,64.2600,1.196465
FILLER_12_143,VDD,Metal1,74.8800,64.2600,1.196465
FILLER_12_111,VDD,Metal1,59.2800,64.2600,1.196525
FILLER_12_76,VDD,Metal1,42.4800,64.2600,1.197546
FILLER_12_74,VDD,Metal1,41.7600,64.2600,1.197546
FILLER_12_45,VDD,Metal1,27.8400,64.2600,1.199301
FILLER_12_0,VDD,Metal1,6.0000,64.2600,1.199807
FILLER_11_140,VDD,Metal1,73.2000,56.7000,1.198118
FILLER_11_138,VDD,Metal1,72.4800,56.7000,1.198118
FILLER_11_120,VDD,Metal1,63.6000,56.7000,1.198118
FILLER_11_118,VDD,Metal1,62.8800,56.7000,1.198118
FILLER_11_107,VDD,Metal1,57.6000,56.7000,1.198208
FILLER_11_79,VDD,Metal1,43.9200,56.7000,1.198276
FILLER_11_77,VDD,Metal1,43.2000,56.7000,1.198448
FILLER_11_38,VDD,Metal1,24.2400,56.7000,1.199810
FILLER_11_36,VDD,Metal1,23.5200,56.7000,1.199810
FILLER_11_7,VDD,Metal1,9.6000,56.7000,1.199883
FILLER_11_0,VDD,Metal1,7.4490,57.2980,1.199883
FILLER_10_148,VDD,Metal1,77.2800,56.7000,1.198110
FILLER_10_76,VDD,Metal1,42.4800,56.7000,1.198448
FILLER_10_40,VDD,Metal1,25.2000,56.7000,1.199683
FILLER_10_36,VDD,Metal1,24.0110,56.1030,1.199810
FILLER_10_29,VDD,Metal1,21.3690,56.1010,1.199865
FILLER_10_4,VDD,Metal1,7.9200,56.7000,1.199883
FILLER_9_123,VDD,Metal1,65.0400,49.1400,1.199053
FILLER_9_121,VDD,Metal1,64.3200,49.1400,1.199055
FILLER_9_107,VDD,Metal1,57.3600,49.1400,1.199098
FILLER_9_38,VDD,Metal1,24.2400,49.1400,1.199806
FILLER_9_36,VDD,Metal1,23.5200,49.1400,1.199806
