Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,401
design__instance__area,5171.04
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0005347479600459337
power__switching__total,0.0001132770485128276
power__leakage__total,1.1111724518286792E-7
power__total,0.0006481361342594028
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2514766799312417
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.25116065493834433
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.18549143301929935
timing__setup__ws__corner:nom_fast_1p32V_m40C,7.180279685171827
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.185491
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.25194408383782796
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2514827861580498
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7702510514089896
timing__setup__ws__corner:nom_slow_1p08V_125C,6.378110664591734
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.770251
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2516363855178508
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2512515544510563
timing__hold__ws__corner:nom_typ_1p20V_25C,0.39538506920964
timing__setup__ws__corner:nom_typ_1p20V_25C,6.891100329858372
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.395385
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2514766799312417
clock__skew__worst_setup,0.25116065493834433
timing__hold__ws,0.18549143301929935
timing__setup__ws,6.378110664591734
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.185491
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 83.905 102.625
design__core__bbox,5.76 15.12 77.76 86.94
design__io,38
design__die__area,8610.75
design__core__area,5171.04
design__instance__count__stdcell,238
design__instance__area__stdcell,4213.04
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.814737
design__instance__utilization__stdcell,0.814737
design__rows,19
design__rows:CoreSite,19
design__sites,2850
design__sites:CoreSite,2850
design__instance__count__class:buffer,1
design__instance__area__class:buffer,7.2576
design__instance__count__class:sequential_cell,32
design__instance__area__class:sequential_cell,1567.64
design__instance__count__class:multi_input_combinational_cell,109
design__instance__area__class:multi_input_combinational_cell,1045.09
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,36
design__io__hpwl,1000505
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,984.137
design__instance__displacement__mean,4.135
design__instance__displacement__max,33.12
route__wirelength__estimated,4217.64
design__violations,0
design__instance__count__class:timing_repair_buffer,87
design__instance__area__class:timing_repair_buffer,1184.8
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,408.24
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,61
global_route__vias,1220
global_route__wirelength,7070
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,257
route__net__special,2
route__drc_errors__iter:0,35
route__wirelength__iter:0,4207
route__drc_errors__iter:1,7
route__wirelength__iter:1,4198
route__drc_errors__iter:2,3
route__wirelength__iter:2,4192
route__drc_errors__iter:3,0
route__wirelength__iter:3,4190
route__drc_errors,0
route__wirelength,4190
route__vias,1095
route__vias__singlecut,1095
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,165.085
design__instance__count__class:fill_cell,163
design__instance__area__class:fill_cell,958.003
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19117
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19826
